	frame	subF	1stSym	symbol#	cellId	rnti	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
UL	1114	2	1	1	1	1	1776	28	1	37.6758 	0	0
UL	1114	9	1	1	1	1	1157	21	0	37.6758 	0	0
DL	1115	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	1132	4	1	1	1	1	48	0	0	37.6758 	0	0
UL	1132	5	1	1	1	1	48	0	0	37.6758 	0	0
DL	1133	1	1	1	3	1	48	0	0	12.9584	 	0	0
DL	1133	1	3	20	3	1	1027	0	0	36.7032	 	0	0
DL	1133	2	2	8	3	1	411	0	0	36.7032	 	0	0
UL	1133	6	1	1	1	1	1776	28	0	13.9293 	1	1
DL	1134	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	1134	2	1	1	1	1	1776	28	1	37.6758 	0	0
UL	1134	9	1	1	1	1	1157	21	0	37.6758 	0	0
DL	1135	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	1152	4	1	1	1	1	48	0	0	37.6758 	0	0
UL	1152	5	1	1	1	1	48	0	0	37.6758 	0	0
DL	1153	1	1	1	3	1	48	0	0	12.9584	 	0	0
DL	1153	1	3	20	3	1	1027	0	0	36.7032	 	0	0
DL	1153	2	2	8	3	1	411	0	0	36.7032	 	0	0
UL	1153	6	1	1	1	1	1776	28	0	13.9293 	1	1
DL	1154	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	1154	2	1	1	1	1	1776	28	1	37.6758 	0	0
UL	1154	9	1	1	1	1	1157	21	0	37.6758 	0	0
DL	1155	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	1172	4	1	1	1	1	48	0	0	37.6758 	0	0
UL	1172	5	1	1	1	1	48	0	0	37.6758 	0	0
DL	1173	1	1	1	3	1	48	0	0	12.9584	 	0	0
DL	1173	1	3	20	3	1	1027	0	0	36.7032	 	0	0
DL	1173	2	2	8	3	1	411	0	0	36.7032	 	0	0
UL	1173	6	1	1	1	1	1776	28	0	13.9293 	1	1
DL	1174	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	1174	2	1	1	1	1	1776	28	1	37.6758 	0	0
UL	1174	9	1	1	1	1	1157	21	0	37.6758 	0	0
DL	1175	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	1192	4	1	1	1	1	48	0	0	37.6758 	0	0
UL	1192	5	1	1	1	1	48	0	0	37.6758 	0	0
DL	1193	1	1	1	3	1	48	0	0	12.9584	 	0	0
DL	1193	1	3	20	3	1	1027	0	0	36.7032	 	0	0
DL	1193	2	2	8	3	1	411	0	0	36.7032	 	0	0
UL	1193	6	1	1	1	1	1776	28	0	13.9293 	1	1
DL	1194	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	1194	2	1	1	1	1	1776	28	1	37.6758 	0	0
UL	1194	9	1	1	1	1	1157	21	0	37.6758 	0	0
DL	1195	2	1	1	3	1	1776	28	0	36.7032	 	0	0
